#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-11-07T03:02:20 [V7.4.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-11-07T03:02:20	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-source=J/A+A/537/A146/tables&-order=I&-out=Mini&Mini=1&-out=track&track=track&Zini=0.014&-out=Rot&Rot=r&-out=Time&-out=Mass&-out=logL&-out=logTe&-out=X&-out=Y&-out=C12&-out=C13&-out=N14&-out=O16&-out=O17&-out=O18&-out=Ne20&-out=Ne22&-out=Al26&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	    IVOID of underlying data collection
#INFO	creator=Ekstrom S.	    First author or institution
#INFO	cites=bibcode:2012A&A...537A.146E	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2012	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35370146	    Dataset identifier that can be used for citation
#INFO	publication_date=2012-04-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_537_A146_tables:
#Name: J/A+A/537/A146/tables
#Title: Evolutionary tracks
#Column	Mini	(F6.2)	Initial mass	[ucd=phys.mass]
#Column	track	(a5)	Evolutionary trask for this mass	[ucd=meta.ref.url]
#Column	Rot	(A1)	[nr] r for rotation, n for no rotation	[ucd=meta.code]
#Column	Time	(E12.5)	Age	[ucd=time.age]
#Column	Mass	(F7.3)	Actual mass	[ucd=phys.mass]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
#Column	X	(F6.4)	H surface abundance (mass fraction)	[ucd=phys.abund.Fe]
#Column	Y	(F6.4)	He surface abundance (mass fraction)	[ucd=phys.abund.Y]
#Column	C12	(E9.2)	12C surface abundance (mass fraction)	[ucd=meta.note]
#Column	C13	(E9.2)	13C surface abundance (mass fraction)	[ucd=meta.note]
#Column	N14	(E9.2)	14N surface abundance (mass fraction)	[ucd=meta.note]
#Column	O16	(E9.2)	16O surface abundance (mass fraction)	[ucd=meta.note]
#Column	O17	(E9.2)	17O surface abundance (mass fraction)	[ucd=meta.note]
#Column	O18	(E9.2)	18O surface abundance (mass fraction)	[ucd=meta.note]
#Column	Ne20	(E9.2)	20Ne surface abundance (mass fraction)	[ucd=meta.note]
#Column	Ne22	(E9.2)	22Ne surface abundance (mass fraction)	[ucd=meta.note]
#Column	Al26	(E9.2)	26Al surface abundance (mass fraction)	[ucd=phys.abund]
Mini;track;Rot;Time;Mass;logL;logTe;X;Y;C12;C13;N14;O16;O17;O18;Ne20;Ne22;Al26
Msun; ; ;yr;Msun;[Lsun];[K]; ; ; ; ; ; ; ; ; ; ;
------;-----;-;------------;-------;-------;-----;------;------;---------;---------;---------;---------;---------;---------;---------;---------;---------
  1.00;track;r; 3.49993e+07;  1.000; -0.138;3.754;0.7200;0.2660; 2.28e-03; 2.77e-05; 6.59e-04; 5.72e-03; 2.27e-06; 1.29e-05; 1.88e-03; 1.52e-04; 0.00e+00
  1.00;track;r; 1.45293e+08;  1.000; -0.131;3.755;0.7203;0.2656; 2.28e-03; 2.77e-05; 6.58e-04; 5.71e-03; 2.26e-06; 1.29e-05; 1.88e-03; 1.52e-04; 0.00e+00
  1.00;track;r; 2.55790e+08;  1.000; -0.129;3.755;0.7206;0.2653; 2.28e-03; 2.77e-05; 6.58e-04; 5.71e-03; 2.26e-06; 1.29e-05; 1.87e-03; 1.52e-04; 0.00e+00
  1.00;track;r; 3.50854e+08;  1.000; -0.127;3.755;0.7209;0.2651; 2.28e-03; 2.76e-05; 6.57e-04; 5.71e-03; 2.26e-06; 1.29e-05; 1.87e-03; 1.51e-04; 0.00e+00
  1.00;track;r; 4.61763e+08;  1.000; -0.124;3.755;0.7212;0.2647; 2.28e-03; 2.76e-05; 6.57e-04; 5.70e-03; 2.26e-06; 1.29e-05; 1.87e-03; 1.51e-04; 0.00e+00
  1.00;track;r; 5.56827e+08;  1.000; -0.122;3.755;0.7214;0.2645; 2.27e-03; 2.76e-05; 6.57e-04; 5.70e-03; 2.26e-06; 1.29e-05; 1.87e-03; 1.51e-04; 0.00e+00
  1.00;track;r; 6.67735e+08;  1.000; -0.120;3.755;0.7217;0.2642; 2.27e-03; 2.76e-05; 6.56e-04; 5.70e-03; 2.26e-06; 1.28e-05; 1.87e-03; 1.51e-04; 0.00e+00
  1.00;track;r; 7.62799e+08;  1.000; -0.118;3.755;0.7219;0.2640; 2.27e-03; 2.76e-05; 6.56e-04; 5.69e-03; 2.25e-06; 1.28e-05; 1.87e-03; 1.51e-04; 0.00e+00
  1.00;track;r; 8.73708e+08;  1.000; -0.115;3.755;0.7221;0.2638; 2.27e-03; 2.76e-05; 6.55e-04; 5.69e-03; 2.25e-06; 1.28e-05; 1.87e-03; 1.51e-04; 0.00e+00
  1.00;track;r; 9.68772e+08;  1.000; -0.113;3.756;0.7223;0.2636; 2.27e-03; 2.76e-05; 6.55e-04; 5.69e-03; 2.25e-06; 1.28e-05; 1.87e-03; 1.51e-04; 0.00e+00
  1.00;track;r; 1.07968e+09;  1.000; -0.110;3.756;0.7225;0.2633; 2.27e-03; 2.76e-05; 6.55e-04; 5.68e-03; 2.25e-06; 1.28e-05; 1.87e-03; 1.51e-04; 0.00e+00
  1.00;track;r; 1.17474e+09;  1.000; -0.108;3.756;0.7227;0.2631; 2.27e-03; 2.76e-05; 6.54e-04; 5.68e-03; 2.25e-06; 1.28e-05; 1.87e-03; 1.51e-04; 0.00e+00
  1.00;track;r; 1.28565e+09;  1.000; -0.106;3.756;0.7229;0.2629; 2.26e-03; 2.77e-05; 6.54e-04; 5.68e-03; 2.25e-06; 1.28e-05; 1.87e-03; 1.51e-04; 0.00e+00
  1.00;track;r; 1.38072e+09;  1.000; -0.103;3.756;0.7231;0.2627; 2.26e-03; 2.77e-05; 6.54e-04; 5.68e-03; 2.25e-06; 1.28e-05; 1.86e-03; 1.51e-04; 0.00e+00
